;lastpage;seed;age;colorVision;gender;gender[other];experienceAI_none;experienceAI_media;experienceAI__privateLife;experienceAI_work;experienceAI_relatedCourse;experienceAI_research;experienceAI_other;experienceHealth_none;experienceHealth_interested;experienceHealth_work;experienceHealth_doctor;experienceHealth_pulmonologist;experienceHealth_research;experienceHealth_xRays;experienceHealth_other;outcomeAI[1];condition;slider1;ownPrediction1;ownConfidence1[howConfident];aiPrediction1;confidence1[howConfident];justification1;slider2;ownPrediction2;ownConfidence2[howConfident];aiPrediction2;confidence2[howConfident];justification2;slider3;ownPrediction3;ownConfidence3[howConfident];aiPrediction3;confidence3[howConfident];justification3;slider4;ownPrediction4;ownConfidence4[howConfident];aiPrediction4;confidence4[howConfident];justification4;slider5;ownPrediction5;ownConfidence5[howConfident];aiPrediction5;confidence5[howConfident];justification5;slider6;ownPrediction6;ownConfidence6[howConfident];aiPrediction6;confidence6[howConfident];justification6;slider7;ownPrediction7;ownConfidence7[howConfident];aiPrediction7;confidence7[howConfident];justification7;slider8;ownPrediction8;ownConfidence8[howConfident];aiPrediction8;confidence8[howConfident];justification8;slider9;ownPrediction9;ownConfidence9[howConfident];aiPrediction9;confidence9[howConfident];justification9;slider10;ownPrediction10;ownConfidence10[howConfident];aiPrediction10;confidence10[howConfident];justification10;slider11;ownPrediction11;ownConfidence11[howConfident];aiPrediction11;confidence11[howConfident];justification11;slider12;ownPrediction12;ownConfidence12[howConfident];aiPrediction12;confidence12[howConfident];justification12;featurePneumonia;featureHealthy;explSatisfaction_makeDecision;explSatisfaction_satisfying;explSatisfaction_detail;explSatisfaction_complete;explSatisfaction_usefulToPredictAi;explSatisfaction_trust;TrustRating_trust;TrustRating_rely;CompetenceRating[1];EmotionRating_Anger;EmotionRating_Easygoing;EmotionRating_Happy;EmotionRating_ChilledOut;EmotionRating_Mad;EmotionRating_Satisfaction;EmotionRating_Calm;EmotionRating_Relaxation;EmotionRating_Enjoyment;EmotionRating_Pissed;EmotionRating_Liking;PracticalApplRating[1];PracticalApplAreas_additionToMedicalPersonel;PracticalApplAreas_diagnosis;PracticalApplAreas_supportForMedicalExplanation;PracticalApplAreas_routineExaminations;PracticalApplAreas_screeningAtHome;PracticalApplAreas_other;comment;totalTime;predictionTime1;predictionTime2;predictionTime3;predictionTime4;predictionTime5;predictionTime6;predictionTime7;predictionTime8;predictionTime9;predictionTime10;predictionTime11;predictionTime12;lastPageTime;ownPrediction1_correct;ownPrediction2_correct;ownPrediction3_correct;ownPrediction4_correct;ownPrediction5_correct;ownPrediction6_correct;ownPrediction7_correct;ownPrediction8_correct;ownPrediction9_correct;ownPrediction10_correct;ownPrediction11_correct;ownPrediction12_correct;aiPrediction1_correct;aiPrediction2_correct;aiPrediction3_correct;aiPrediction4_correct;aiPrediction5_correct;aiPrediction6_correct;aiPrediction7_correct;aiPrediction8_correct;aiPrediction9_correct;aiPrediction10_correct;aiPrediction11_correct;aiPrediction12_correct;correctOwnPredictionsTotal;correctAiPredictionsTotal;ignored_sliders;ownPred=AiPred;correct_own_Predictions_percent;correct_Ai_Predictions_percent;correct_Predictions_ForWrongAi_percent;correct_Predictions_ForCorrectAi_percent;meanConfidence;correctMeanConfidence;falseMeanConfidence;TimePrediction_mean;explSatisfaction_mean;Trust_mean;Anger_mean;Happy_mean;Relaxation_mean
1;18;184761891;23.0;N;2.0;;;Y;;;;;;;;Y;;;;;;4.0;1;0.98;sick;2.0;sick;2.0;There are blurry areas at the bottom of the lungs;-1.0;sick;4.0;sick;3.0;Very blurry on right lung;1.0;sick;1.0;sick;1.0;Some blurriness in the middle;-1.0;healt;3.0;healt;3.0;Not blurry;-1.0;healt;2.0;healt;2.0;No blurriness;1.0;sick;2.0;sick;2.0;Blurry;1.0;sick;1.0;sick;1.0;Blurry but only around the edges;-1.0;healt;3.0;healt;3.0;Not blurry;1.0;healt;2.0;healt;2.0;Not that blurry;-1.0;sick;3.0;sick;3.0;Quite blurry;1.0;healt;3.0;healt;3.0;No blurry areas;-1.0;healt;3.0;healt;2.0;Not blurry;Areas of clarity vs blurry;Areas of clarity;2.0;3.0;2.0;3.0;3.0;2.0;3.0;3.0;3.0;1.0;2.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0;3.0;Y;;Y;Y;;;;900.65;38.82;13.69;39.39;12.0;17.39;16.56;20.84;12.93;16.09;13.19;27.0;10.76;59.68;1;1;1;1;1;0;0;1;1;1;0;0;1;1;1;0;0;1;0;1;1;0;1;1;8;8;6;1.0;0.5;0.8333333333333334;1.0;0.75;1.8333333333333333;2.0;1.0;26.450000000000003;2.5;3.0;1.3333333333333333;1.0;1.75
2;18;357871661;40.0;N;1.0;;;Y;;;;;;;Y;;;;;;;3.0;0;0.98;sick;4.0;sick;4.0;based on areas highlighted;1.0;sick;2.0;sick;2.0;based on heatmap and image;0.97;sick;5.0;sick;4.0;based on heatmap and image;1.0;healt;4.0;healt;4.0;based on heatmap and image;1.0;sick;2.0;sick;3.0;based on heatmap and image;1.0;sick;4.0;sick;4.0;based on heatmap and image;1.0;healt;4.0;healt;4.0;based on heatmap and image;1.0;healt;3.0;healt;3.0;based on heatmap and image;1.0;sick;3.0;sick;3.0;based on heatmap and image;1.0;sick;4.0;sick;4.0;based on heatmap and image;1.0;sick;4.0;sick;4.0;based on heatmap and image;1.0;sick;3.0;sick;3.0;based on heatmap and image;the heat map analysis;the remaining unaffected areas;4.0;3.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;1.0;2.0;3.0;;;;;Y;;no;2462.7;231.5;31.12;30.35;19.12;26.75;21.41;90.02;22.95;24.57;21.55;30.67;58.14;160.93;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;9;7;0;1.0;0.75;0.5833333333333334;0.3333333333333333;0.8333333333333334;3.5;3.4285714285714284;3.6;50.67916666666667;3.0;3.0;1.0;2.0;1.75
3;18;42317036;38.0;N;1.0;;;Y;;;;;;;Y;;;;;;;5.0;0;1.0;sick;1.0;sick;7.0;The brightest green patch is located in the lung.;1.0;sick;5.0;sick;5.0;One of the lungs is cloudy on the scan.;1.0;healt;4.0;healt;4.0;The lungs are mostly unclouded on the scan.;1.0;healt;4.0;healt;4.0;Very little of the brightest green is in the lung.;1.0;healt;5.0;healt;5.0;The part showing the brightest green is clear.;1.0;sick;3.0;sick;3.0;The image appears cloudier.;1.0;sick;5.0;sick;5.0;The image is rather cloudy on the lungs.;1.0;healt;4.0;healt;4.0;The lungs do not appear clouded.;1.0;healt;4.0;healt;4.0;Little clouding is present.;1.0;sick;5.0;sick;5.0;The lungs appear quite clouded.;1.0;sick;5.0;sick;5.0;Parts of both lungs are clouded.;1.0;sick;3.0;sick;3.0;Part of the right lung is quite clouded with a lot of green indicated to support the ai.;How cloudy or foggy the lungs appear to be.;How clear and unclouded the lungs appear.;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;5.0;1.0;5.0;5.0;5.0;1.0;5.0;5.0;5.0;5.0;1.0;5.0;5.0;Y;Y;Y;Y;;;no;1447.1;123.94;235.12;42.02;71.76;50.45;34.65;37.5;45.83;52.07;40.31;51.32;83.87;134.74;1;1;0;1;1;0;0;1;1;1;1;1;1;1;0;0;0;1;0;1;1;0;0;0;9;5;0;1.0;0.75;0.4166666666666667;0.16666666666666666;0.6666666666666666;4.5;4.6;4.428571428571429;72.40333333333335;4.0;4.0;1.0;5.0;5.0
5;18;158014657;39.0;N;2.0;;;Y;;;;;;Y;;;;;;;;4.0;1;1.0;healt;5.0;healt;5.0;The areas that the AI has identified are higher up in the lung which looks healthy ;1.0;sick;6.0;sick;2.0;Most of the chest is covered and you can't see the lungs clearly;1.0;sick;5.0;sick;4.0;The lungs towards the abdomen are light and not as dark as someone who is not suffering from pneumomina;1.0;healt;6.0;healt;6.0;The x-ray is difficult to see but I think because it can see the top of the lung is why it would have chosen that decision;1.0;sick;2.0;sick;1.0;The lungs as a whole are not as dark on the x-ray, showing that could be the start of pneumonia ;1.0;sick;2.0;sick;1.0;The heat source is not consistent which would suggest that it is not sure on the diagnosis;1.0;sick;2.0;sick;1.0;It's not a clear image but you can't see most of the lungs, it seems to be cloudy;1.0;healt;6.0;healt;6.0;It can see the lungs clearly so can make the correct decision;1.0;healt;7.0;healt;7.0;It's a very clear x-ray of the chest where you can fully examine it ;1.0;healt;3.0;healt;2.0;Although the image is not clear, you can see that the lungs look clear;1.0;sick;5.0;sick;3.0;The areas that are highlighted, you can see the vessels of the lungs and they are starting to look translucent ;0.97;healt;5.0;healt;4.0;Can clearly see the lungs and they look at bit darker in colour;The lungs themselves;Other areas and organs in the body;3.0;4.0;4.0;3.0;4.0;2.0;4.0;3.0;7.0;1.0;4.0;5.0;6.0;1.0;6.0;6.0;5.0;4.0;1.0;3.0;5.0;Y;;Y;Y;Y;;;2451.17;119.0;74.54;111.41;134.61;197.29;162.28;228.27;87.04;89.65;275.4;204.06;102.93;229.78;0;1;1;1;0;0;0;1;1;0;1;0;0;1;1;0;1;1;0;1;1;1;0;1;6;8;0;1.0;0.5;0.6666666666666666;0.6666666666666666;0.6666666666666666;3.5;3.375;3.75;148.87333333333336;3.3333333333333335;3.5;1.0;4.5;5.25
6;18;1543980992;42.0;N;2.0;;;Y;;;;;;;Y;;;;;;;3.0;1;0.68;sick;3.0;sick;5.0;The areas that supported the decision had large variations in black/white which I think informed AI that there was pneumonia.;0.11;sick;1.0;healt;2.0;I think the AI will have compared the different parts of the image and selected that the lung part was comparatively clear/defined in a generally blurry X-ray.;0.33;sick;2.0;sick;2.0;I think that when comparing the different parts of the image, the AI will have thought that the lungs were relatively blurry and therefore infected.;0.67;healt;3.0;healt;3.0;The green areas show either mainly dark or mainly light areas, which I think the AI will see as not suffering from pneumonia due to the little variation in darkness.;0.26;sick;2.0;sick;2.0;Comparing the different areas of the X-ray AI might have decided that the lung part looked congested as it is quite cloudy.;0.24;sick;4.0;healt;3.0;I think that it used the green areas to conclude that the lungs were not infected as those areas had little variation in colour.;0.38;healt;3.0;healt;2.0;I think the AI will conclude that the definition of the ribs and lungs shows no pneumonia.;0.26;sick;4.0;sick;3.0;I think that the AI will have interpreted the small white lines and white patches of the green areas as showing fluid on the lungs.;0.11;sick;2.0;sick;2.0;With high definition but larger white areas in some of the parts looked at, I think AI will think these larger white areas are infection.;0.09;sick;1.0;healt;1.0;Because the areas looked at seem to be of a regular shade of white with little contrast.;0.3;sick;1.0;sick;2.0;I think that AI will have compared the definition and clarity of the different green areas and noted that one part of the lungs looks more cloudy there infected.;0.37;healt;1.0;healt;2.0;Because the airways of the lungs are clear to see.;The clarity of the image in different parts selected, and then the contrast and how much variation there is in the contrast in different areas.;Clearly identifiable airways and clear patches.;2.0;2.0;2.0;2.0;3.0;3.0;2.0;1.0;2.0;3.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;5.0;5.0;4.0;2.0;Y;;Y;;;;It would have been interesting to know if the AI had been correct in each situation.;1793.19;123.46;111.47;88.44;106.38;119.15;160.53;88.34;105.2;105.05;71.84;73.17;80.62;207.61;1;1;1;1;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;7;6;0;0.75;0.5833333333333334;0.5;0.5;0.5;2.4166666666666665;2.3333333333333335;2.5;102.80416666666667;2.3333333333333335;1.5;3.3333333333333335;3.0;1.0
7;18;1117347031;38.0;N;2.0;;;;Y;;;;;;Y;;;;;;;4.0;1;0.23;healt;5.0;sick;4.0;;0.33;sick;7.0;sick;7.0;;0.51;healt;4.0;healt;4.0;;1.0;sick;5.0;sick;5.0;;1.0;healt;5.0;healt;5.0;;0.35;sick;7.0;sick;6.0;;0.97;sick;6.0;sick;5.0;;0.51;healt;6.0;healt;5.0;;0.67;healt;5.0;healt;5.0;;0.49;sick;6.0;sick;7.0;The larger the green patches that the AI has detected, the most likely that the AI has chosen Pneumonia for this patient.;0.41;healt;4.0;healt;5.0;;0.21;healt;5.0;healt;4.0;;AI pays attention to any type of anomaly in the patients' lungs.;It seems to pay attention to clear looking x-rays of the lungs.;3.0;4.0;3.0;4.0;3.0;3.0;4.0;4.0;7.0;1.0;7.0;7.0;7.0;1.0;5.0;7.0;5.0;7.0;1.0;7.0;5.0;Y;Y;Y;Y;;;;1146.65;81.1;25.76;43.3;38.33;52.71;21.14;47.68;24.14;26.22;100.06;20.08;27.38;283.42;0;1;0;0;1;0;0;1;1;1;0;0;1;1;0;1;0;1;0;1;1;0;1;1;5;8;0;0.9166666666666666;0.4166666666666667;0.6666666666666666;0.6666666666666666;0.6666666666666666;5.166666666666667;5.125;5.25;42.324999999999996;3.3333333333333335;4.0;1.0;6.5;6.5
8;18;825726953;51.0;N;2.0;;;;Y;;;;;;Y;;;;;;;4.0;0;1.0;sick;4.0;sick;6.0;I think that the A.I. clearly saw that the lung has an infection and as such was able to locate the issue to make a diagnostic.;1.0;sick;4.0;sick;4.0;It looks like there is an infection. ;1.0;healt;4.0;healt;4.0;The lungs do not look infected. ;1.0;sick;4.0;sick;3.0;There might be a slight infection. ;1.0;healt;4.0;healt;4.0;Lungs look clear. ;1.0;sick;4.0;sick;4.0;It looks like there is an infection. ;1.0;healt;4.0;healt;4.0;It looks clear.;1.0;healt;7.0;healt;7.0;It is quite evident from looking at the X-ray that there is no infection at all. ;1.0;healt;4.0;healt;4.0;It looks like there is no infection. ;1.0;sick;7.0;sick;7.0;I can see that there is an infection on the x-ray and the AI would have picked that up easily. ;1.0;healt;4.0;healt;4.0;Lungs look clear. ;1.0;healt;5.0;healt;3.0;It looks like the lungs are quite clear. ;The A.I. pays attention to images of water in the lungs to predict pneumonia. ;It pays attention to how clear the lungs are to predict healthy lungs. ;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;7.0;1.0;3.0;3.0;3.0;1.0;3.0;4.0;4.0;4.0;1.0;5.0;3.0;Y;;Y;;;;This was very intriguing. ;1532.35;169.05;56.3;55.55;76.66;53.12;83.3;48.63;71.93;51.42;69.01;51.77;63.35;190.68;1;1;0;0;1;0;1;1;1;1;0;0;1;1;0;1;0;1;1;1;1;0;1;1;7;9;0;1.0;0.5833333333333334;0.75;0.6666666666666666;0.8333333333333334;4.5;4.333333333333333;5.0;70.84083333333335;4.0;4.0;1.0;3.75;3.5
9;18;1894117389;52.0;N;1.0;;;Y;;;;;;;Y;;;;;;;4.0;1;0.98;sick;6.0;sick;6.0;There appears to be congestion in the  areas marked as green in the X-ray illustration.;1.0;healt;6.0;healt;5.0;Despite the apparent presence of inflammation in the chest cavity, there is no particular inflammation visible beneath the green patches.;1.0;healt;5.0;healt;5.0;There doesn't seem to be any inflammation beneath the green patches, although the presence of breast tissue makes it difficult to distinguish.;1.0;healt;4.0;healt;5.0;There is no clouded area behind the green patch near the top of the patient's chest. The other patches are hard to make out because of what appears to be breast tissue.;1.0;healt;6.0;healt;6.0;No evident inflammation beneath the green patches on the X-ray.;1.0;sick;4.0;sick;4.0;The designated areas of the chest mostly look cloudy, though the image is not quite clear enough for me to tell.;1.0;healt;6.0;healt;5.0;No obvious patches or signs of congestion under the green patches in the X-ray.;1.0;healt;6.0;healt;5.0;Lack of patches in the lung area that would suggest pneumonia.;0.88;healt;5.0;healt;5.0;The areas marked as green in the X-ray look mostly clear to me.;0.99;sick;4.0;sick;4.0;The whole chest area looks highly congested, which suggests serious illness, including pneumonia.;0.99;healt;6.0;healt;6.0;There is no shading in the areas marked as green that would suggest pneumonia.;1.0;healt;5.0;healt;5.0;No evident inflammation under the green patches.;Cloudy patterns on the X-ray, particular shapes where pneumonia has been detected in previous cases.;Clear images over the lungs, lack of evident congestion or inflammation.;2.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;4.0;2.0;4.0;3.0;3.0;1.0;3.0;1.0;1.0;3.0;2.0;3.0;3.0;Y;;Y;Y;;;Quite a humbling experience--for me, if not for the AI system!;2039.56;165.88;127.88;84.55;140.04;60.85;167.83;90.68;105.86;70.78;83.65;98.56;46.65;349.14;1;0;0;1;1;0;1;1;1;1;0;0;1;0;0;0;0;1;1;1;1;0;1;1;7;7;0;1.0;0.5833333333333334;0.5833333333333334;0.5;0.6666666666666666;5.083333333333333;5.142857142857143;5.0;103.60083333333334;2.3333333333333335;2.0;1.6666666666666667;3.0;2.25
10;18;1575757263;40.0;N;1.0;;;Y;Y;;;;;;Y;;;;;;;5.0;1;1.0;sick;5.0;sick;5.0;The green areas are over the part of the lung that is overly cloudy, thus indicating pneumonia.;1.0;sick;7.0;sick;7.0;Defintiely a green spot over an infected area of the lung.;1.0;healt;2.0;healt;3.0;The parts that are green seem to be not as cloudy  to indicate that there is pneunomia.;0.99;healt;3.0;healt;2.0;Lungs here look pretty clear so no sickness.;1.0;healt;3.0;healt;3.0;Person does not seem to have pneumonia.;1.0;sick;7.0;sick;7.0;lungs look very cloudy so the AI should predict pneumonia.;-1.0;sick;7.0;sick;7.0;Lungs look too cl0udy for it not to be the case.;0.92;sick;3.0;healt;2.0;Green spot seems to be not over infected area.;1.0;healt;3.0;healt;2.0;The green parts are in the wrong spot in some cases.;1.0;sick;5.0;sick;4.0;Green area for the AI is over an infected area.;0.98;sick;5.0;sick;3.0;Green area over a cloudy lung should indicate pneunomia.;1.0;sick;3.0;sick;2.0;Green area looks like it over an infected part of the lung.;The cloudiness of the lung when it in the green area.;The lungs seem to have an even spread of not being cloudy.;3.0;4.0;2.0;2.0;3.0;4.0;3.0;4.0;7.0;3.0;5.0;4.0;4.0;2.0;2.0;5.0;5.0;6.0;1.0;6.0;5.0;Y;Y;;;;;this was a great survey and I would like to see more of them.;1740.08;159.44;51.51;82.65;61.1;49.72;61.16;49.55;76.28;40.85;61.47;145.61;44.38;183.36;1;1;0;1;1;0;0;0;1;1;1;1;1;1;0;0;0;1;0;1;1;0;0;0;8;5;1;0.9090909090909091;0.7272727272727273;0.45454545454545453;0.16666666666666666;0.8;3.6363636363636362;4.6;2.8333333333333335;75.83363636363637;3.0;3.5;2.0;4.5;4.75
11;18;1614048419;34.0;N;1.0;;;Y;;;;;;Y;;;;;;;;2.0;1;1.0;healt;5.0;healt;5.0;The green are was almost the same as the first picture where the lung was healthy;0.64;sick;2.0;sick;2.0;Because you barely can see the lung;0.84;sick;2.0;sick;2.0;White parts on the lungs;0.96;healt;2.0;healt;2.0;Clear picture of the lungs;0.51;healt;2.0;healt;2.0;Clear lungs;0.62;sick;3.0;sick;3.0;There are white areas on the lung;0.63;sick;6.0;sick;6.0;White areas on the lung;0.54;healt;5.0;healt;5.0;Clear picture of the lungs;0.58;healt;2.0;healt;2.0;Clear lungs;0.87;sick;6.0;sick;6.0;White lung;0.47;healt;4.0;healt;4.0;Not a lot white area;0.73;healt;5.0;healt;5.0;Clear picture of the lung;I thought on the white areas which can show liquids;How clear the picture of the lungs;2.0;3.0;4.0;4.0;4.0;4.0;3.0;3.0;1.0;1.0;5.0;3.0;5.0;2.0;4.0;7.0;5.0;5.0;3.0;6.0;4.0;Y;;;Y;;;;1047.99;69.98;124.62;30.61;28.24;42.35;68.74;22.9;29.07;20.97;18.88;29.21;35.15;165.07;0;1;1;1;1;0;0;1;1;1;0;0;0;1;1;0;0;1;0;1;1;0;1;1;7;7;0;1.0;0.5833333333333334;0.5833333333333334;0.5;0.6666666666666666;3.6666666666666665;3.2857142857142856;4.2;43.39333333333334;3.5;3.0;2.0;4.5;5.5
