;seed;age;gender;condition;correct_Ai_Predictions_percent;explSatisfaction_mean;Trust_mean;featurePneumonia;featureHealthy;comment;ignored_sliders;ownPred=AiPred;correct_own_Predictions_percent;correct_Predictions_ForWrongAi_percent;correct_Predictions_ForCorrectAi_percent;meanConfidence;correctMeanConfidence;falseMeanConfidence;TimePrediction_mean;totalTime;experienceHealth_none;experienceHealth_interested;experienceHealth_work;experienceHealth_doctor;experienceHealth_pulmonologist;experienceHealth_research;experienceHealth_xRays;experienceHealth_other;experienceAI_none;experienceAI_media;experienceAI__privateLife;experienceAI_work;experienceAI_relatedCourse;experienceAI_research;experienceAI_other;outcomeAI[1];CompetenceRating[1];Anger_mean;Happy_mean;Relaxation_mean;PracticalApplRating[1];PracticalApplAreas_additionToMedicalPersonel;PracticalApplAreas_diagnosis;PracticalApplAreas_supportForMedicalExplanation;PracticalApplAreas_routineExaminations;PracticalApplAreas_screeningAtHome;PracticalApplAreas_other
1;184761891;23.0;2.0;1;0.8333333333333334;2.5;3.0;Areas of clarity vs blurry;Areas of clarity;;6;1.0;0.5;1.0;0.75;1.8333333333333333;2.0;1.0;26.450000000000003;900.65;;;Y;;;;;;;Y;;;;;;4.0;3.0;1.3333333333333333;1.0;1.75;3.0;Y;;Y;Y;;
2;357871661;40.0;1.0;0;0.5833333333333334;3.0;3.0;the heat map analysis;the remaining unaffected areas;no;0;1.0;0.75;0.3333333333333333;0.8333333333333334;3.5;3.4285714285714284;3.6;50.67916666666667;2462.7;;Y;;;;;;;;Y;;;;;;3.0;3.0;1.0;2.0;1.75;3.0;;;;;Y;
3;42317036;38.0;1.0;0;0.4166666666666667;4.0;4.0;How cloudy or foggy the lungs appear to be.;How clear and unclouded the lungs appear.;no;0;1.0;0.75;0.16666666666666666;0.6666666666666666;4.5;4.6;4.428571428571429;72.40333333333335;1447.1;;Y;;;;;;;;Y;;;;;;5.0;5.0;1.0;5.0;5.0;5.0;Y;Y;Y;Y;;
5;158014657;39.0;2.0;1;0.6666666666666666;3.3333333333333335;3.5;The lungs themselves;Other areas and organs in the body;;0;1.0;0.5;0.6666666666666666;0.6666666666666666;3.5;3.375;3.75;148.87333333333336;2451.17;Y;;;;;;;;;Y;;;;;;4.0;7.0;1.0;4.5;5.25;5.0;Y;;Y;Y;Y;
6;1543980992;42.0;2.0;1;0.5;2.3333333333333335;1.5;The clarity of the image in different parts selected, and then the contrast and how much variation there is in the contrast in different areas.;Clearly identifiable airways and clear patches.;It would have been interesting to know if the AI had been correct in each situation.;0;0.75;0.5833333333333334;0.5;0.5;2.4166666666666665;2.3333333333333335;2.5;102.80416666666667;1793.19;;Y;;;;;;;;Y;;;;;;3.0;2.0;3.3333333333333335;3.0;1.0;2.0;Y;;Y;;;
7;1117347031;38.0;2.0;1;0.6666666666666666;3.3333333333333335;4.0;AI pays attention to any type of anomaly in the patients' lungs.;It seems to pay attention to clear looking x-rays of the lungs.;;0;0.9166666666666666;0.4166666666666667;0.6666666666666666;0.6666666666666666;5.166666666666667;5.125;5.25;42.324999999999996;1146.65;;Y;;;;;;;;;Y;;;;;4.0;7.0;1.0;6.5;6.5;5.0;Y;Y;Y;Y;;
8;825726953;51.0;2.0;0;0.75;4.0;4.0;The A.I. pays attention to images of water in the lungs to predict pneumonia. ;It pays attention to how clear the lungs are to predict healthy lungs. ;This was very intriguing. ;0;1.0;0.5833333333333334;0.6666666666666666;0.8333333333333334;4.5;4.333333333333333;5.0;70.84083333333335;1532.35;;Y;;;;;;;;;Y;;;;;4.0;7.0;1.0;3.75;3.5;3.0;Y;;Y;;;
9;1894117389;52.0;1.0;1;0.5833333333333334;2.3333333333333335;2.0;Cloudy patterns on the X-ray, particular shapes where pneumonia has been detected in previous cases.;Clear images over the lungs, lack of evident congestion or inflammation.;Quite a humbling experience--for me, if not for the AI system!;0;1.0;0.5833333333333334;0.5;0.6666666666666666;5.083333333333333;5.142857142857143;5.0;103.60083333333334;2039.56;;Y;;;;;;;;Y;;;;;;4.0;4.0;1.6666666666666667;3.0;2.25;3.0;Y;;Y;Y;;
10;1575757263;40.0;1.0;1;0.45454545454545453;3.0;3.5;The cloudiness of the lung when it in the green area.;The lungs seem to have an even spread of not being cloudy.;this was a great survey and I would like to see more of them.;1;0.9090909090909091;0.7272727272727273;0.16666666666666666;0.8;3.6363636363636362;4.6;2.8333333333333335;75.83363636363637;1740.08;;Y;;;;;;;;Y;Y;;;;;5.0;7.0;2.0;4.5;4.75;5.0;Y;Y;;;;
11;1614048419;34.0;1.0;1;0.5833333333333334;3.5;3.0;I thought on the white areas which can show liquids;How clear the picture of the lungs;;0;1.0;0.5833333333333334;0.5;0.6666666666666666;3.6666666666666665;3.2857142857142856;4.2;43.39333333333334;1047.99;Y;;;;;;;;;Y;;;;;;2.0;1.0;2.0;4.5;5.5;4.0;Y;;;Y;;
